priority,tier,firm,city,state,contact_name,contact_title,size_estimate,practice_focus,signal,signal_source_url,phone,published_email,website,notes
11,VOLUME,Alonso & Alonso Law Firm,Houston,TX,Vanessa R. Alonso / Christopher Alonso,Founders,2 founders 6 offices,family/humanitarian,Thousands of families (firm-claimed); 6-office multi-metro small firm,https://alonsoandalonsolaw.com/en/locations/houston-immigration-lawyer/,1-855-663-4763,,https://alonsoandalonsolaw.com,offices Houston/San Antonio/Austin/McAllen/Irving/Phoenix; WhatsApp intake
12,VOLUME,Duque Isern Law LLC,Union City,NJ,Stephanie Marie Duque Isern,Founder,solo + team,family/humanitarian,Actively hiring immigration paralegal (WayUp/BeBee) - live form-labor demand,https://www.wayup.com/i-j-Immigration-Paralegal-Duque-Isern-Law-LLC-797723626062802/,201-751-4900,,https://lawful.com/nj/union-city/immigration-lawyers/duque-isern-law-llc-U-PqVOeg5,offer software before the hire closes; Bergenline Ave corridor
13,WARM,NPZ Law Group (Nachman Phulwani Zimovcak),Ridgewood,NJ,David H. Nachman,Managing Attorney & Founder,5 attys + ~17 paralegals,employment + family,Aug 2025 press: Small Firm Big Thinking; 3:1 paralegal ratio,https://lawfirmnewswire.com/2025/08/raise-the-bar-spotlights-attorney-david-nachman-small-firm-big-thinking-in-immigration-law/,866-599-3625,david_nachman@visaserve.com,https://visaserve.com,DO NOT reference Michael Phulwani (deceased in memoriam)
14,CHANNEL,JQK Law,Los Angeles,CA,John Khosravi,Founding Attorney; podcast host,2 attys,family + investor/talent,Runs Immigration Lawyers Podcast (~479 eps) + Toolbox media company,https://jqklaw.com/leader/john-khosravi/,,,https://jqklaw.com,pitch podcast appearance not cold sale; contact form only; Docketwise sponsors his podcast
15,WARM,Manji Law P.C.,Decatur,GA,Jameel Manji,Founder & Managing Partner,~1 atty + staff,family/removal/naturalization,Published Docketwise switcher (70% forms-work reduction claim); June 2026 site relaunch,https://www.docketwise.com/success-stories/from-inszoom-to-docketwise-immigration-software/,678-210-3018,info@manjilaw.com,https://manjilaw.com,domain migrating to manji.law; relaunch is warm opener
16,WARM,Shepelsky Law Group,Brooklyn,NY,Marina Shepelsky,CEO & Founder,3 attys,asylum/family/VAWA + family law,ABA Journal: 3x busier than last year; media-forward LinkedIn video series,https://www.abajournal.com/magazine/article/immigration-attorneys-are-turning-to-ai-to-help-with-an-abundance-of-cases,718-769-6352,,https://shepelskylaw.com,WhatsApp/Viber 718-679-3131; contact form only
17,WARM,Law Office of Saja Raoof,San Francisco,CA,Saja Raoof,Principal,solo/boutique,general immigration,Docketwise testimonial: fourth immigration software I have used,https://www.docketwise.com/success-stories/,,,https://www.sar.law,serial buyer
18,WARM,Shahzad R. Khan Legal PLLC,Allen,TX,Shahzad R. Khan,Principal Attorney,solo + staff,employment + family,Capterra 5-star + Docketwise testimonial (productivity tenfold),https://www.capterra.com/p/172490/Docketwise/reviews/,,,https://www.srkhanlegal.com,DFW metro
19,WARM,Marcus Law Firm PLLC,Glendale,AZ,Hiedy Marcus,Founder,solo grown to small team,removal/asylum/Cuban adjustment,Docketwise success story on high-volume court caseload,https://www.docketwise.com/success-stories/hiedy-marcus/,,,https://www.marcusdefense.com,high-volume immigration court docket
20,WARM,Vrapi Weeks,Albuquerque,NM,Olsi Vrapi,Managing Partner,small multi-atty,family/employment/removal,Capterra Docketwise 5-star as Managing Partner; Clio integration user,https://www.capterra.com/p/172490/Docketwise/reviews/,,,https://vrapiweeks.com,
21,WARM,Mirque Law PLLC,Grand Rapids,MI,Robert F. Mirque Jr.,Owner,solo,family + business,Capterra Docketwise 5-star (significant time savings),https://www.capterra.com/p/172490/Docketwise/reviews/,616-233-9300,,https://www.grandrapidsimmigrationlawyer.com,29+ yrs
22,WARM,Goldenberg Law Firm P.A.,Minneapolis,MN,Sonseere H. Goldenberg,Owner,solo,employment-based,Capterra 5-star: no repetitive form entry; current USCIS forms,https://www.capterra.com/p/172490/Docketwise/reviews/,612-349-9894,,https://goldenbergimmigration.com,30+ yrs; bought for exactly our value prop
23,WARM,Burchinow Immigration Law Firm,Aurora,CO,Elsa Burchinow,Sole practitioner,solo,general,Named reviewer on Docketwise reviews page,https://www.docketwise.com/reviews/,,,https://www.coloradoimmigrant.com,
24,WARM,Law Offices of Jeraline Singh Edwards,Aptos,CA,Jeraline Singh Edwards,Owner,solo,family/naturalization flat-fee volume,eImmigration video: completes naturalization cases in 15 minutes,https://get.eimmigration.com/company/customers,831-204-8656,,https://www.edwardsimmigration.com,automation-motivated
25,WARM,Immigration Law Office of David N. Simmons,Englewood,CO,David N. Simmons,Principal,small,general,eImmigration video: found a forms solution that actually works,https://get.eimmigration.com/company/customers,303-806-0202,,https://davidnsimmons.com,former AILA Colorado chapter chair
26,WARM,Contreras & Metelska PA,St. Paul,MN,Gloria Contreras Edin,Founder & Managing Attorney,small,removal/family/VAWA,eImmigration written testimonial,https://get.eimmigration.com/company/customers,,,https://contrerasedinlaw.com,est. 2009
27,WARM,Dady Law Group LLC,Rockford,IL,Sara Dady,Owner & Managing Attorney,small,family/U-VAWA/removal,eImmigration testimonial: indispensable to practice,https://get.eimmigration.com/company/customers,,,https://dadylawgroup.com,
28,WARM,Griselle Garcia Immigration Law,Fredericksburg,VA,Griselle Garcia,Owner,small multi-office,general,eImmigration case study: solo to multi-office in 3 years,https://get.eimmigration.com/resources/from-solo-immigration-practitioner-to-multi-office-firm,540-710-3532,,https://ggarcialegal.com,also Puerto Rico office
29,WARM,Shabani & Associates P.C.,Hoover,AL,Michael M. Shabani,Attorney,small,general,eImmigration testimonial incl forms management,https://get.eimmigration.com/company/customers,205-823-1223,,https://michaelshabani.com,Birmingham metro
30,WARM,Florida Keys Immigration Law Group,Cudjoe Key,FL,Reggie Smith,Partner,2 attys,family/citizenship/removal,eImmigration testimonial (multilingual client experience),https://get.eimmigration.com/company/customers,,,https://keysimmigration.com,partner Bonnie Smerdon
31,WARM,Jonathan D. Ryan Law PLLC,San Antonio,TX,Jonathan D. Ryan,Owner,solo/small,general + nonprofit,eImmigration customer 10+ years; former RAICES executive,https://get.eimmigration.com/company/customers,,,https://www.ryanimmigration.com,bridge to nonprofit segment via RAICES background
32,WARM,Kidambi & Associates P.C.,Trumbull,CT,Yasmin Blackburn / Vaman Kidambi,Sr Assoc Director / Principal,boutique,employment (PERM heavy),eImmigration video: largest PERM processor in Connecticut,https://get.eimmigration.com/company/customers,203-961-1886,,https://kidambi.com,high form volume
33,WARM,Alami Law,Pasadena,CA,Rosario Camacho / Amira Al-Alami,COO / Founding Attorney,small (11-50 staff per Capterra),general,Capterra eIMMIGRATION 5-star Feb 2026 (fresh) by COO,https://www.capterra.com/p/250619/eIMMIGRATION/reviews/,,,https://alamilaw.com,COO is operational buyer
34,WARM,JLW Immigration Law Group,Austin,TX,Jennifer Walker Gates,Founding Attorney,small,general,LollyLaw testimonial praising immigration-specific workflow,https://lollylaw.com/testimonials/,512-633-1785,,https://jlw.law,Board Certified
35,WARM,Brousseau & Lee PLLC,Falls Church,VA,Heain Lee,Partner,2 partners,removal + family,LollyLaw named testimonial 5/5,https://lollylaw.com/testimonials/,,,https://www.blimmigration.law,
36,WARM,Immigration Attorneys LLP,Chicago,IL,Ira Azulay / Shannon Shepherd,Managing Partner / Partner,12 attys (size caveat),general,eImmigration: hours of data entry work in minutes,https://get.eimmigration.com/company/customers,,,https://www.immattyllp.com,top edge of ICP; offices Milwaukee/Phoenix/Tampa
37,VOLUME,Gursoy Law Firm P.C.,Brooklyn,NY,Gursoy (verify first name via bar profile),Founder,small,asylum/family/SIJ,270+ 5-star Google (firm-stated) + thousands of asylum cases (firm-claimed),https://gursoylaw.com/,718-646-5783,,https://gursoylaw.com,25+ yrs Sheepshead Bay; Turkish community; WhatsApp
38,VOLUME,Revilla Law Firm P.A.,Miami,FL,Antonio G. Revilla III,Managing Partner,3 attys,removal + family,Thousands of cases (firm-claimed); ex-INS prosecutor,https://www.immigrationmiami.com/,305-858-2323,,https://www.immigrationmiami.com,
39,VOLUME,Musa-Obregon Law PC,Queens,NY,S. Michael Musa-Obregon,Founder,4 attys 3 offices,family/humanitarian/removal,16+ intake languages at 4-attorney size,https://www.musa-obregon.com/immigration/,718-803-1000,,https://www.musa-obregon.com,Maspeth; also criminal defense
40,VOLUME,Immigration Law Office of Los Angeles P.C.,Los Angeles,CA,Linda Lee,Managing Attorney,small,family + employment,35000 cases approved and 99.9% rate (both firm-claimed); 249+ Google reviews (firm-stated),https://immigrationhelpla.com/,213-375-4084,,https://immigrationhelpla.com,verify languages
41,VOLUME,Buitron Law Firm P.C.,Houston,TX,Tania Buitron,Founder,2 attys,family/asylum/court,Hiring bilingual family-based immigration paralegal (Indeed) - live signal,https://www.indeed.com/q-immigration-paralegal-l-houston,-tx-jobs.html,,,https://buitronlawfirm.com,offer software before hire closes
42,VOLUME,Tesoroni & LeRoy,Newark,NJ,Henry A. Tesoroni,Partner,3 attys,family/asylum/removal,40 yrs; ex-USCIS officers; weekend hours for throughput,https://www.njimmigrationattorneys.com/en,973-482-4249,info@njimmigrationattorneys.com,https://www.njimmigrationattorneys.com,ex-officers know cost of rejected forms
43,VOLUME,KPB Immigration Law Firm,San Jose,CA,Wilson Purves,Founder,small 5 CA + 3 Mexico offices,family/consular + employment,Thousands of San Jose clients (firm-claimed); Mexico offices = consular volume,https://www.kpbimmigrationlawfirm.com/office/san-jose,408-963-0355,,https://www.kpbimmigrationlawfirm.com,Mexican civil docs into US forms daily
44,VOLUME,American Visa Law Group,Fremont,CA,Hasan Abdullah,Founder/Principal,small 2 offices,mixed,5000+ cases (firm-claimed); 100+ 5-star Yelp (firm-stated),https://www.usavisalaw.com/,510-500-1155,info@usavisalaw.com,https://www.usavisalaw.com,10+ languages
45,VOLUME,Pozo Goldstein LLP,Miami,FL,Steven Goldstein / Julio Pozo,Name Partners,small boutique,family + removal,Thousands of cases (firm-claimed); ex-judge + ex-prosecutor brand,https://pozogoldstein.com/immigration/family-based-immigration/,,,https://pozogoldstein.com,accuracy protects their brand
46,VOLUME,Law Office of Yovanna Vargas,Dallas,TX,Yovanna Vargas,Founder,solo + staff,family/humanitarian (SIJ/U/VAWA),4.9 aggregate rating (TrustAnalytica); AILA Pro Bono Guardian,https://trustanalytica.org/us/tx/dallas/reviews/law-office-of-yovanna-vargas,,,https://www.yvargaslaw.com,full Spanish mirror site
47,VOLUME,Antonini & Cohen Immigration Law Group,Atlanta,GA,Carolina Antonini,Co-founder,small group,family/removal,35 yrs continuous consumer practice; 7-language staff,https://www.antoniniandcohen.com/,470-428-3200,,https://www.antoniniandcohen.com,Buford Hwy corridor
48,VOLUME,Quijano Law,Norcross,GA,Martin Quijano (verify via bar profile),Lead Attorney,small,family/bonds/humanitarian,Spanish-language consumer positioning Buford Hwy corridor (weak proxy),https://quijano-law.com/,470-621-3953,,https://quijano-law.com,
49,VOLUME,Gondim Law Corp,Los Angeles,CA,Marcelo Gondim,Lead Attorney,small,mixed Brazilian community,500+ cases and 100+ 5-star reviews (firm-claimed),https://gondimlaw.com/,323-282-7770,,https://gondimlaw.com,Portuguese-language source docs
50,VOLUME,Law Office of Tatiane M. Silva P.A.,Miami,FL,Tatiane M. Silva,Founding Attorney,solo/small,family/humanitarian,4-language 5-nationality consumer intake (site structure),https://tmsilvalaw.com/family-immigration/,305-895-2500,,https://tmsilvalaw.com,EN/ES/PT/Kreyol
51,VOLUME,Salinas Law Firm,Houston,TX,Alberto Salinas,Founder,1 atty + 3 staff,mixed,High staff ratio + WhatsApp intake (weak proxy),https://www.salinas-law.com/,713-518-1711,,https://www.salinas-law.com,
52,VOLUME,Kurczaba & Associates,Chicago,IL,Christopher Kurczaba,Partner,small partnership,family + business (employment-lean),Thousands of companies assisted (firm-claimed),https://kurczabalegal.com/christopher-kurczaba/,,,https://kurczabalegal.com,Polish-language docs; second priority per wedge
53,VOLUME,Vianey K. Hurtado Law,Phoenix,AZ,Vianey K. Hurtado,Founder,solo/small,family petitions,Practice-page focus Phoenix-Yuma corridor (weak proxy),https://www.vianeylaw.com/case-types/family-based-petitions-for-immigration,,,https://www.vianeylaw.com,
54,VOLUME,Fernando Romo & Associates,Los Angeles,CA,Fernando Romo,Founder,small,family,Longevity + Spanish positioning only (weak - verify),https://www.justia.com/lawyers/immigration-law/california/los-angeles,,,,verify review counts before outreach
55,COOL,Alcocer Law Firm,Houston,TX,Manuela (Mimi) Alcocer,Owner,solo,crimmigration/VAWA/asylum,Immigration Lawyers Toolbox podcast ep 426 guest,https://podcasts.apple.com/us/podcast/the-immigration-lawyers-podcast-discussing-visas/id1111797806,,,https://mimialcocerlaw.com,
56,COOL,De Wit Immigration Law P.A.,Miami Shores,FL,Jose Carlos de Wit,Founder,solo/boutique,employment/investment (E-2 O-1 EB-5),Maximum Lawyer podcast guest,https://maximumlawyer.com/josedewit637/,,,https://www.dewit.law,document-heavy petitions
57,COOL,Goldstein Immigration Lawyers,Los Angeles,CA,Joshua L. Goldstein,Founding Partner,small multi-office,general,Maximum Lawyer podcast guest on multi-office ops,https://podcasts.apple.com/us/podcast/maximum-lawyer/id1144476540,213-262-2000,,https://jgoldlaw.com,also Boston
58,COOL,Martinez Immigration,Dallas/Allen,TX,Kathleen Martinez,Founder,2-5 attys,family,Maximum Lawyer guest; virtual national practice; large TikTok,https://maximumlawyer.com/kathleenmartinez486/,,,https://martinezimmigration.net,tech-lean virtual firm
59,UPMARKET,New Frontier Immigration Law,Phoenix,AZ,Hillary Walsh,Founder & CEO,103 employees (over ICP),humanitarian (VAWA/U/T),Posts contract remote paralegal roles for handling immigration forms accurately,https://www.remoterocketship.com/company/newfrontier-us/jobs/business-immigration-paralegal-contract-freelance-mexico-remote/,623-304-7702,,https://newfrontier.us,clearest pain signal in dataset; first upmarket call
60,UPMARKET,Quiroga Law Office PLLC,Spokane Valley,WA,Hector E. Quiroga,Founder,~22 attys + CTO (over ICP),family/consumer volume,In-house CTO; founder publishes AI analysis,https://www.quirogalawoffice.com/immigration-attorneys-and-staff/,509-927-3840,,https://www.quirogalawoffice.com,pitch CTO-first as integration
61,UPMARKET,Hacking Immigration Law LLC,St. Louis,MO,Jim Hacking,Founder,30+ employees (borderline),family/citizenship/mandamus,On Filevine (no immigration-native form engine); Maximum Lawyer co-host,https://www.titan100.biz/2022-stlouis-titans/jim-hacking/,314-961-8200,,https://hackinglawpractice.com,channel value via Maximum Lawyer regardless of sale
62,UPMARKET,Grape Law Firm PLLC,New York,NY,Muhammed Uzum,Founding Partner,120-130+ staff (over ICP),business/talent,Builds in-house (GrapeBot AI GrapeCase; Head of Technology),https://www.grapelaw.com/team,646-825-6556,info@grapelaw.com,https://grapelaw.com,build-vs-buy only; deprioritize
63,VERIFY,Gehi & Associates,Queens,NY,Naresh Gehi,Founder,~80 staff (verify atty count),family/asylum/mixed,1079 Birdeye reviews; 20000+ cases (firm-claimed),https://reviews.birdeye.com/gehi-associates-155666467046704,718-263-5999,info@queensimmigrationattorney.com,https://queensimmigrationattorney.com,largest packet volume in Queens if attorney count clears ICP
